Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,min_salary,max_salary,avg_salary,job_state,head_state,same_state,age (2020),python_yn,java_yn,aws_yn,api_yn,job_simple,seniority,desc_len,Company
Software Engineer,$89K-$175K (Glassdoor est.),"About Agari


Founded by thought leaders of Cisco's IronPort solutions, we're on a mission to protect digital communications so humanity prevails over evil.

Agari is transforming the email security landscape with the next-generation Secure Email Cloud powered by predictive AI. Leveraging data science and real-time intelligence from trillions of emails, Agari has a suite of products that detect, defend, and deter costly advanced email attacks.

Agari is trusted by leading Fortune 1000 companies, including 6 of the top 10 banks and 5 of the world's leading social media networks, as well as Government Agencies, to protect their organizations, partners, customers and citizens from advanced email phishing attacks.

Headquartered in Silicon Valley, Agari is backed by Alloy Ventures, Battery Ventures, First Round Capital, Greylock Partners, Norwest Venture Partners, ScaleVP, and now Goldman Sachs.

Agari Engineering


We believe strongly in autonomy for our engineering team. In collaboration with product management and engineering colleagues, our engineers are empowered to make decisions about every aspect of our architecture and development process. We value learning through pairing on unfamiliar areas of the stack with someone knowledgeable and by attending conferences and classes.

Your Impact
You will be responsible for the day-to-day development and high-availability maintenance of the Agari Incident Response (AIR) web application, data-processing pipeline, and related services. You will:
Create applications that fundamentally protect people on the Internet
Work in a cross-functional team to identify product needs, design solutions, and prioritize work
Investigate technologies and build tools and services with other engineers across the company
Practice secure development methodologies during design, implementation, and maintenance of Agari products and services
Your Keys to Success


As a member of the AIR Engineering team, you will be most successful with the following:
5 years of experience in a Software Engineering environment.
Ability to identify technical and non-technical needs of a product
Ability to communicate well with Agarians from all departments (within the Product/Engineering organization and beyond)
Experience developing distributed systems which can handle data at scale
Proficiency with Python for high-performance data processing
Experience with relational databases and SQL (particularly PostgreSQL)
Experience building and scaling applications and components using Amazon Web Services such as Lambda, SQS, Elasticsearch Service, RDS, CloudFront, DynamoDB, etc.
Knowledge of standards for email structure and transport protocols
Experience developing in and deploying to containerized environments (e.g. using Docker)
Experience with infrastructure automation tools like Helm and Terraform
Comfortable using Linux in a development, test, and production environment
Brownie Points
Proficiency with Ruby on Rails (or similar, combined with a willingness to learn Ruby)
Proficiency with SPA JavaScript frameworks like Ember
Knowledge of container orchestration technologies (Kubernetes, EKS, AKS)
Experience leveraging build and continuous integration (CI) platforms such as Drone
Knowledge of email authentication technologies (SPF, DKIM, DMARC)
Why we're a great place to work
Won Best Places to Work 2018
Fast-growing cyber security start-up Won the best Email Security Solution 2018
Competitive benefits package -equity included!
Hard working people with a lively office environment
Weekly company events lunches, social happenings, etc (We like to have fun too!)",4.2,"Agari
","San Mateo, CA","Foster City, CA",51 to 200 employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),0,89,175,132.0, CA, CA,1,11,1,1,0,1,software,na,3623,Agari
Software Engineer,$89K-$175K (Glassdoor est.),"Job Description

CSI’s Payments Software Engineers provide technical support for multiple finance applications.In this position you will provide highly technical solutions in the development of applications to solve basic to complex problems.You will work cross-functionally with other departments to evaluate product requirements and ensure that data and reports are processed accurately and in a timely manner for CSI customers.

Job Responsibilities
Responsible for developing, implementing, and maintaining multiple applications
Test and release updates to code in sprints according to Agile standards
Develop and maintain a keen functional understanding of the supported applications
Execute and document detailed test plans and contribute to peer code reviews
Understand complexities of moving data among various interfacing applications and platforms
Plan and report activities based on leadership directive
Document programs according to Software Engineering Group standards
Demonstrate an ability to quickly diagnose and resolve system trouble calls
Knowledge, Skills and Abilities:
Bachelor's Degree (preferably in Computer Engineering/Science) or equivalent
Experienced with application development - knowledge of COBOL, Unix, scripting and SQL preferred
Experience with Agile methodology a plus
Prior experience demonstrating analytical skills
Good written and verbal communication skills at both technical and business levels
Ability to work independently as well as in a team environment
Strong attention to detail, with respect for data sensitivity
Excellent problem-solving skills to assist in sometimes urgent issue resolution
Capable to working on multiple projects of a complex nature
CSI also offers a competitive compensation package to include paid vacation, 401k, profit sharing, medical insurance to include dental and vision, and much more!

For more information on CSI, visit our website atwww.csiweb.com.",4.0,"Computer Services
","Valparaiso, IN","Paducah, KY",1001 to 5000 employees,1965,Company - Public,Financial Transaction Processing,Finance,$100 to $500 million (USD),0,89,175,132.0, IN, KY,0,55,0,0,0,0,software,na,1931,Computer Services
Software Engineer,$89K-$175K (Glassdoor est.),"Company Overview


Dematic is a leading supplier of integrated automated technology, software and services to optimize the supply chain. Dematic employs over 7,000 skilled logistics professionals to serve its customers globally, with engineering centers and manufacturing facilities located around the world. Dematic is one brand under the KION Group of companies and has implemented more than 6,000 integrated systems for a customer base that includes small, medium and large companies doing business in a variety of market sectors.

Headquartered in Atlanta, Georgia, Dematic is a member of KION Group, a global leader in industrial trucks, related services and supply chain solutions. Across more than 100 countries worldwide, the KION Group designs, builds and supports logistics solutions that optimize material and information flow within factories, warehouses and distribution centers. The company is the largest manufacturer of industrial trucks in Europe, the second-largest producer of forklifts globally and a leading provider of warehouse automation.

The Role


Job Family Specific Responsibilities
Supports sales staff in preparing for and/or facilitating customer conversations related to software enhancements.
Performs reviews of software enhancement requests which may also include customers' standards specification and other documentation to determine software engineering requirements.
Performs complex technical interchange and knowledge transfer for both processes and application of products to system design.
Generates the scope of work for software enhancements affecting our existing customers. For replacement solutions, this may include the description of operation.
Coordinates with estimating team for appropriate equipment interfaces, when they are affected.
Completes estimates for software enhancements.
Develops preliminary staffing schedule for software enhancements.
Key Responsibilities
Performs full range of standard work for the professional field.
Identifies and resolves complex problems and applies problem-solving skills in order to deal with most situations.
What We Are Looking For


Education
Typically BS/BA in related discipline or advanced degree. Certification may be required in some areas.
Knowledge
Demonstrates and applies a broad knowledge of field of specialization through successful completion of moderately complex assignments.
Successfully applies complex knowledge of fundamental concepts, practices, and procedures of particular area of specialization.
Demonstrates knowledge of organization's business practices and issues.
Experience
Typically 5-8 years of successful experience in related field and successful demonstration of Key Responsibilities and
Knowledge as presented above. Advanced degree may be substituted for experience, where applicable
Direction of Others
Provide general guidance or train support and/or professional staff.
Key Working Relationships
Primarily intra-organizational contacts and external contacts.
SOC Specific Data
Demonstrated ability to determine requirements from customers while selling our ideas
Demonstrated strong verbal and written communication skills
Demonstrated familiarity of software products and engineering processes
Willingness and demonstrated ability to stay current with the latest material handling concepts
Demonstrated ability to manage numerous opportunities and deadlines
Proven ability to reliably forecast and report on the status of proposals",3.8,"Dematic
","New Berlin, WI","Atlanta, GA",5001 to 10000 employees,1819,Subsidiary or Business Segment,Electrical & Electronic Manufacturing,Manufacturing,Unknown / Non-Applicable,3,89,175,132.0, WI, GA,0,201,0,0,0,0,software,na,3468,Dematic
Software Engineer,$89K-$175K (Glassdoor est.),"Description:Do you have a commitment to success, proven interpersonal skills, a positive outlook? Are you a creative thinker and problem solver? Are you looking for a meaningful career?

If so, then we would love to speak with you! The Engineering & Technology organization is a highly dynamic and growing organization that plays a vital role in providing mission-critical intelligence solutions by optimizing satellite constellations, processing data through its entire life cycle and developing reliable cutting-edge infrastructure for information dissemination across a global network and to a variety of programs.

Come be a part of the development of the new Hypersonic Conventional Prompt Strike (CPS) weapon. This new multi-platform launched weapon system will include phases progressing through design, flight test, initial production and deployment of the weapon system. Join the Lockheed Martin team and be a part of the company that has developed and flown more hypersonic vehicles than any other U.S. Company and has decades of hypersonic development and flight test experience from government contracts as well as internal investments in research and development projects. Candidate will be a flight software engineer and for the Conventional Prompt Strike (CPS) designing and developing flight software and integrating flight software (FSW) used to for the weapon system. Primary responsibilities are to participate as a member of the flight software team to (1) develop flight software requirements allocated from the product specification tree, (2) develop the software design based on these software requirements, (3) develop object oriented code based on the software design, (4) develop unit tests for this developed code, (5) perform necessary Peer Reviews and provide Software Review Board (SRB) support as required, and (6) support preparation and presentation of materials as part of a software acceptance review (SAR). In the execution of these responsibilities the candidate is to adhere to company command media and customer contract requirements. The nature of the work requires the candidate be organized and detailed oriented. This position requires strong communication skills, and the ability to work both independently and in a team environment, and to interface with software developers, test engineers, system engineers, program management, quality assurance engineers, and customer representatives.

To promote the sharing of ideas, Lockheed Martin fosters an inclusive work environment that encourages differences and big-picture thinking. Our employees play an active role in strengthening the quality of life where we live and work by volunteering more than 850,000 hours annually. Here are some of the benefits you can enjoy:

• Medical
• Dental
• 401k
• Paid time off
• Work/life balance
• Career development
• Mentorship opportunities
• Rewards & recognition

Learn more about Lockheed Martins competitive and comprehensive benefits package.
Basic Qualifications:
• Previous C++ or Python experience
• Strong problem solving and troubleshooting skills
• Excellent team orientation
Desired Skills:
• Previous real-time and embedded software development experience
• Experience developing and testing Flight Software
• Agile processes
• Full development lifecycle experience
• Ability to perform software integration and test development
• Ability to work with multiple programming languages, operating systems, and development environments.
• Understanding of missile or satellite software systems
• Experience using UML
• Experience in requirements development and/or analysis for software/hardware interfaces, DOORS
• Familiar with missile vehicle avionics hardware
• DOD secret clearance.
BASIC QUALIFICATIONS:
job.Qualifications

Lockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.
Join us at Lockheed Martin, where your mission is ours. Our customers tackle the hardest missions. Those that demand extraordinary amounts of courage, resilience and precision. Theyre dangerous. Critical. Sometimes they even provide an opportunity to change the world and save lives. Those are the missions we care about.

As a leading technology innovation company, Lockheed Martins vast team works with partners around the world to bring proven performance to our customers toughest challenges. Lockheed Martin has employees based in many states throughout the U.S., and Internationally, with business locations in many nations and territories.
EXPERIENCE LEVEL:
Experienced Professional",3.8,"Lockheed Martin
","Englewood, CO","Bethesda, MD",10000+ employees,1995,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),3,89,175,132.0, CO, MD,0,25,1,0,0,0,software,na,4763,Lockheed Martin
Software Engineer,$89K-$175K (Glassdoor est.),"Who we are...


Verra Mobility is a global leader in smart mobility. We develop technology-enabled solutions that help the world move safely and easily. We are fostering the development of Smart Cities, working with municipalities, counties and school districts to install over 5,000 red-light, speed, and school bus stop arm safety cameras across North America that leverage computer vision analytics to deliver unprecedented outcomes. We are also creating smart roadways, serving the world's largest commercial fleets and rental car companies to manage tolling transactions and violations for over 8.5 million vehicles. And we are a leading provider of connected payment systems, processing nearly 200 million transactions each year.

Position Overview


Software Engineer for VM Consolidated Inc., d/b/a Verra Mobility (Mesa, AZ)

Essential Responsibilities


Software Engineer for VM Consolidated Inc., d/b/a Verra Mobility (Mesa, AZ) - Work with scrum team to ensure that all functionality is properly designed, developed, tested, and delivered per the requirements documented by product team. Develop low-level design document to be used by team members for development. Actively participate in code reviews to ensure coding standards are enforced and adequate code coverage is maintained. Develop and document test plans, automated test cases, regression tests, integration tests, and end-to-end tests. Integrate automated testing into Azure Pipelines to ensure quality at build and deployment. Utilize Azure templates and Coded Infrastructure to create and update environments on demand. Work with product teams, scrum teams, and internal groups to ensure customer requirements are being developed and adequately tested. Create and follow design documentation to develop and enhance applications. Create, update, and enhance Stored Procedures, SSRS reports, and SSIS packages. Diagnose and resolve issues in our dev, test, and production environments. Provide technical assistance to end users by responding to inquiries regarding errors, problems, or technical questions. Develop and maintain technical documentation. Provide mentoring and leadership to associate level team members.

Qualifications


Requirements include Bachelor’s degree in Computer Science, Computer Engineering, or related; and 3 years of experience (or 5 years with NO Bachelor’s degree) as a Technology Analyst, or related software engineering occupation, which must include some experience with .Net development, SDLC, testing and implementation of web-based business solutions using OOPS, SOA based applications, N-tier applications, Test-Driven Development and Agile Methodologies.; C#, ASP.Net, MVC, Web-API, IIS, Ajax, XML Web Services, WCF, HTML, XML, SOAP, Angular, JavaScript and jQuery; Object Oriented Design/Development, MVC/Unity design pattern, Threading, Parallel and Asynchronous programming; Entity Framework, Data Adapter, Data Reader and Dataset in ADO.NET and LINQ providers for data manipulation and CRUD operations; Database Design, Normalization, T-SQL, PL-SQL, DML & DDL Queries, Stored Procedures, Views and Functions; Data extraction, cleansing/data integration and loading from different data sources by creating complex SSIS packages; and Windows Azure Cloud hosting platform, Azure DevOps, version control tools (Git, TFS, Azure DevOps, Perforce and SVN).",3.9,"Verra Mobility
","Jersey City, NJ","Mesa, AZ",501 to 1000 employees,1987,Company - Public,Transportation Management,Transportation & Logistics,Unknown / Non-Applicable,0,89,175,132.0, NJ, AZ,0,33,0,1,0,1,software,na,3366,Verra Mobility
Software Engineer,$89K-$175K (Glassdoor est.),"Lendio makes small business loans simple. We are the nation’s largest marketplace for small business financing ($1+ Billion funded to date) and are passionate about helping small business owners get the capital they need to succeed.

Lendio is growing rapidly and needs motivated, capable Senior Level Fullstack Software Engineer to work at our headquarters in Lehi, UT to help us achieve our goals.

Our Development team is a group of experienced and engaged software engineers building the premier fintech loan automation platform. You will work with all departments and stakeholders to deliver valuable products quickly and efficiently. You get the job done by holding yourself accountable to your commitments and deadlines, and we plan our projects well so that we don’t burn ourselves out. You QA your own work, and write automated tests.

We work in an iterative, agile environment, and we find balance in building the right thing at the right time.

We use the following technologies in our stack, but experience with these specific technologies is not required.
Vue
AngularJS / Angular
PHP 7
Laravel
MySQL
NodeJS
Webpack
Git
Requirements
Must be willing to work in our Lehi, UT office
4+ years professional experience
Experience with at least one object-oriented backend language
Experience with relational databases, and ability to write performant SQL queries.
Ability to work in an iterative, agile process.
Attention to detail
Ability to work alone and as part of a dynamic team
Bonus points for….
B.S. in Computer Science or related field
Open source contributions
Experience with Scrum, Lean, or other Agile methodologies
Benefits
A full suite of traditional benefits, even for your fur babies!
Paid vacation and holidays
401k with Company-Match & Immediate Vesting
Company contributes to HSA
Wellness program
Work/Life balance
The best reason to work at Lendio is our culture! Check it out at #LendioLife and Glassdoor",4.9,"Lendio
","Lehi, UT","Lehi, UT",201 to 500 employees,2011,Company - Private,Lending,Finance,$50 to $100 million (USD),0,89,175,132.0, UT, UT,1,9,0,0,0,1,software,na,1933,Lendio
Software Engineer,$89K-$175K (Glassdoor est.),"We are AAM. We have the POWER to move the world.

At AAM, we're looking for associates who push boundaries and drive solutions for the future. Innovators. Thinkers. Dreamers. Doers. No matter the role or function, every associate is a piece of what makes AAM great. Were growing and building #TeamAAM to be the best. Join us!

Job Posting Title

Software Engineer

Job Description Summary

Job Description Summary
Join the rapidly growing team of motivated software engineers designing, developing, and testing embedded software for driveline systems. Work in a team environment to develop platform and application software used across a diverse portfolio of driveline products. Projects are highly complex and original, requiring strategic direction, cross-disciplinary integration, and ingenuity of approach.

Job Description
Responsible for design, development and testing of software components
Develop and configure AUTOSAR components
Create detailed designs to link the software implementation to the requirements
Develop software code in C to implement the software design
Conduct unit and integration tests to validate the software implementation
Support issue analysis and corrective action definitions
Develop software in an ASPICE compliant process
Required Skills and Education
Bachelor Degree in relevant engineering field
2+ years in automotive embedded software development
Ability to travel up to 10% of the year
Excellent C/C++ programming experience
Experience with AUTOSAR components and configuration tools
Experience with vehicle communication (CAN, CAN FD, Flex Ray) and diagnostic protocols
Familiar with developing flashable boot loaders
Familiar with Lauterbach debugging tools
Exposure to model based development and auto-code generation of embedded software using Simulink/Stateflow
Familiarity with developing in an ASPICE environment
Familiarity with ISO26262
Excellent Organizational skills
Excellent verbal and written communication in English
Strong analytical skills
About American Axle & Manufacturing

For over 20 years, customers around the world have entrusted AAM to design, engineer, validate and manufacture driveline and metal forming technologies for automotive, commercial and industrial markets. Today, we are a premier global Tier 1 automotive supplier with broad capabilities across multiple product lines to deliver efficient, powerful and innovative solutions for our customers. Weve earned the trust of our suppliers and our customers through our steadfast commitments to quality, operational excellence and technology leadership.

AAM delivers power. We deliver power literally through vehicle components, systems and innovation, but we also deliver power in ways unseen. We power our associates, their families, and the communities in which we operate. Our global team of over 21,000 associates has a clear vision of where AAM is going and how we are going to get there. After all, they are the reason we are a leader in the automotive industry. We are powering the future. We are AAM. Move with us, and join #TeamAAM.

AAM will not discriminate against any Associate or applicant for employment because of age, race, color, gender, religion, weight, height, marital status, sexual orientation, genetic history or information, gender identity or expression, disability, protected veteran status, national origin, or other characteristic protected by law. AAM will take affirmative action to ensure that applicants are employed, and that Associates are treated equally during employment, without regard to their age, race, color, gender, religion, weight, height, marital status, sexual orientation, genetic history or information, gender identity or expression, disability, protected veteran status, national origin, or other characteristic protected by law. For the Disabled Job Seeker: We offer reasonable accommodations for qualified disabled individuals who are applicants for employment. To request assistance or accommodations, please e-mail aamhr@aam.com . AAM is an equal opportunity/affirmative action employer.

Unsolicited Resumes from Third-Party Recruiters

Please note that as per AAM policy, we do not accept unsolicited resumes from third-party recruiters unless such recruiters were engaged to provide candidates for a specified opening. Any employment agency, person or entity that submits an unsolicited resume does so with the understanding that AAM will have the right to hire that applicant at its discretion without any fee owed to the submitting employment agency, person or entity.",3.3,"American Axle & Manufacturing
","Detroit, MI","Detroit, MI",10000+ employees,1994,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),0,89,175,132.0, MI, MI,1,26,0,0,0,1,software,na,4557,American Axle & Manufacturing
Software/Simulation Engineer (Aero),$89K-$175K (Glassdoor est.),"Mid-Level Cleared Software/Simulation Engineer working on Aerospace Guidance, Navigation and Controls (GN&C) Systems
- Classified Launch Vehicle Program/SECRET CLEARANCE REQUIRED
- 12+ Month Contract Position
- GN&C Algorithm development
- GN&C Software development
- Simulation and Modeling (MATLAB, Python)
Skills Required
Secret Security Clearance required
MATLAB experience
Simulation/Modeling experience
Python experience
C++ experience
BS/MS in Engineering, Math or Science with emphasis on Software and/or Control Theory
GN&C experience preferred
Job Types: Full-time, Contract
Salary: $70.00 to $90.00 /hour
Experience:
MATLAB: 3 years (Required)
C++: 3 years (Required)
GN&C Simulation/Modeling: 3 years (Required)
Python: 3 years (Required)
Education:
Bachelor's (Required)
License:
Secret Clearance (Required)
Contract Length:
More than 1 year
Contract Renewal:
Likely
Benefits:
None
This Job Is:
A job for which military experienced candidates are encouraged to apply
Schedule:
Monday to Friday
Overtime
Company's website:
www.simulogix.com
Work Remotely:
No",-1.0,SimuLogix,"Chandler, AZ",-1,-1,-1,-1,-1,-1,-1,0,89,175,132.0, AZ,-1,0,-1,1,0,0,0,software,na,1070,SimuLogix
Software Engineer (Web UI),$89K-$175K (Glassdoor est.),"Job description


At Lab49 we build applications. Fast applications. Working alongside our UX specialists, we engineer the most forward-thinking systems in the industry. Think advanced visualizations, think complex systems integration, think data flow. High frequency trading, risk analysis and portfolio management systems are our bread and butter.

The potential employee will focus on the front-end side of the business. Consider the sheer speed and volume of data across a plethora of financial instruments. Combine with continually evolving data presentation and manipulation needs of our customers. All the while, striving to squeeze every last drop of performance out of modern browsers. It’s what makes our job one of the best and most challenging out there.

We leverage the myriad of platforms available to design and build the perfect solution for our clients. With experts and community leaders in WebUI, Node.js, .NET, Java, Scala, Flex and Ruby on Rails, we’re one of the most platform agnostic consultancies on the market.

Love your craft and want to hone it to become the best you can be? We are looking for you.

Desired Skills and Experience
5+ years of progressive web/front-end development experience
Strong CS background
Deep knowledge of one or more of the following modern technologies: Javascript (backbone.js,requireJS, underscore.js, angularJS) and HTML5
Familiar with server side languages, such as Java, C# or C++
Strong interpersonal and organizational skills
A team player, someone who likes learning from their colleagues
Passionate about delivering quality code
Knowledge of the Agile Development Methodology
Team/development lead experience will put you in front of the line",3.2,"Lab49
","New York, NY","New York, NY",201 to 500 employees,2002,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,0,89,175,132.0, NY, NY,1,18,0,1,0,0,front_end,na,1708,Lab49
Software Engineer,$89K-$175K (Glassdoor est.),"Trident Technologies is seeking an experienced Software Engineer to lead our company’s efforts in performing software design, development and testing in support of the Army’s S3I Directorate’s efforts

Required Skills:
•Ability to design, develop and analyze software programs for computer-based avionics and ground systems
•Document software test and inspection procedures and analyzes results
•Perform systems modeling, simulation, and analysis
•Ability to advise hardware design engineers on machine characteristics that affect hardware/software systems or documentation of new or existing systems/programs

Required Experience:
•At least 10 years’ experience with C, C++, C#
•Experience designing, developing, and analyzing software programs for computer-based avionics systems

Education:
•BS + 18 years' experience or MS + 10 years’ experience

Desired Experience:
•Python or Perl experience

Must possess an active SECRET clearance.

Trident Technologies offers a competitive salary, excellent benefits, and a professional work Environment

Trident Technologies is an Affirmative Action, Equal Opportunity Employer

EOE/Minorities/Females/Vet/Disabled/Gender Identity/Sexual Orientation",4.4,"Trident Technologies
","Huntsville, AL","Huntsville, AL",201 to 500 employees,2006,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),0,89,175,132.0, AL, AL,1,14,1,0,0,0,software,na,1193,Trident Technologies
